ReadGroup	LENGTH_ESTIMATE
ECA344	2.2897173541499862
NIC65	3.3977978299723577
BRC20103	5.1169907172219675
QG4028	1.3509855150374328
QG2685	2.8237718514542323
XZ1207	2.6616543294057164
QG2689	4.6288010904037264
QG936	7.103260170188739
ECA2614	2.4498745228632135
JU4080	2.5353779843740862
NIC1267	3.736544420457032
JU2861	4.110041047894612
BRC20102	3.5431352206414513
JU1041	5.921228755340814
QG2669	6.091403452890031
NIC301	4.780833272651825
QG1107	4.477897036018387
JU1561	5.685277422296212
BRC20367	3.0817309247723617
NIC1138	1.8173831637416917
QG3043	2.0032591818726093
BRC20256	5.314819958991643
QG1120	2.832279045173411
BRC20541	3.314297874228683
NIC83	3.0280554641108504
ECA2663	3.7091857786268045
VT847	2.6186560133250865
QG1151	2.5373136791768554
QG107	3.6303524501624187
QG767	2.7895766314830133
QG4210	1.9850057031751547
ED3096	3.098671336613161
JU1468	6.0739452118663255
NIC186	2.9150639034740244
QG944	11.37837159940106
JU1378	3.2529844331193005
BRC20499	2.7134619062288863
BRC20254	3.7335484087559303
JU1992	3.773519889969809
QG4064	2.858996565158135
NIC896	2.8314406550677527
JU2792	5.355031860897586
JU1914	1.9646747431129445
NIC984	3.526971552575012
JU1261	5.981432562486826
NIC900	3.2771128071894915
NIC871	3.4747694392315323
NIC66	4.165732343589581
NIC1663	2.1169226875205878
JU2590	5.326951956991167
BRC20532	3.199216502960841
NIC358	3.6671984623794684
TWN3077	3.69133300108279
QG939	10.565564721231736
QG773	3.2354337225986476
JU2618	4.349900758343533
QG3866	3.353529599466981
QG829	3.6163772268570726
QG948	8.764197274361369
QG2731	3.3641820855153433
NIC1610	4.5469902441376275
JU2457	4.165547404595686
QG4231	3.1433587621713666
QG3858	2.8516729809998855
QX1803	3.369569974870823
ECA280	4.813185267317222
QG803	3.8147982734072134
QG2666	4.144186950800792
QG746	2.5023293861650173
NIC888	2.536802014627079
ECA2493	0.7369387382403906
NIC863	2.3125203320972623
JU2164	6.960857144889449
JU4099	2.7823640107211016
QG927	9.905887330007623
QG2972	8.071908973880403
QG2814	4.719760252234506
NIC100	2.754555350672396
ED3036	5.9079624648454
NIC1485	4.780518876362203
ECA1173	5.586902206810235
NIC1394	6.434644060926359
QG3879	2.527887955121331
ECA1384	3.697972310963627
QG587	5.4565756978123
NIC902	3.0915018682831574
QG3931	7.3582293964388965
JU2531	4.284087135049368
QG3003	6.154948491192416
ECA1177	3.5987032236738234
BRC20081	2.674230180990589
ECA1157	1.2949489998871928
NIC796	3.4398529571841214
QG3034	7.34121500900054
NIC1661	3.1030543907684764
QG813	2.505208269836652
NIC998	4.225307358156348
EG6272	2.2815553798860786
QG2996	6.188366967389276
QG859	3.8215485466843875
ECA2619	5.106184115345359
QG826	5.056139623597323
NIC1632	2.778085755328993
NIC1220	2.5645613576107458
ECA1479	2.9838365506705125
JU4064	5.550290450652119
MY945	3.7764172675408334
ECA1383	3.2857556228375264
QG949	2.1997691921524996
NIC169	6.634008296345365
MY727	3.504254879491554
QG2752	3.8152667855250813
NIC1296	3.6104098619873883
NIC510	3.820364937123458
NIC22	5.9881335186989615
ECA2629	3.5790133854571162
JU1424	2.6906219404828313
NIC327	4.008978052364024
ECA2667	3.3458607958534605
ECA1513	4.44403470623618
ECA1477	1.05016991220066
ECA2664	3.962361096636179
JU2783	5.64928829408421
NIC1048	5.050560630614818
QG2621	6.180352944320483
BRC20244	4.268872820484924
QG995	4.706888498259402
JU1564	5.329633572402647
QG1109	6.377621204475345
QG860	3.3440114059145087
GUN124	8.039113125629658
QG4031	2.0069271385848637
NIC1060	2.4941304241023308
QG759	7.153378637534334
QG983	7.849489010555798
QG979	3.24800340955039
QX1797	3.902508673578568
QX1796	4.357606549755832
QX1410	4.483784260657384
QG2647	5.229828162030548
NIC1590	3.332760950452552
ECA1495	2.2590976213940737
NIC1418	6.514106181969988
NIC1645	2.495264716598221
BRC20500	1.7709634762740012
NIC180	4.3746825835254874
QG2781	7.2547868525201915
QG937	6.998954577631857
QG113	3.014055582272985
BRC20241	4.733513548747178
QG4113	7.1801331453178365
NIC793	1.7057539870265603
NIC20	3.0668063479650205
QG977	3.3022953335248855
JU842	3.8571554676423396
NIC67	3.434890427514601
NIC824	1.3225542270426136
ECA1639	5.4522111375563735
NIC1626	1.4832662127375267
QG932	6.029775615491027
JU2471	2.9047443076146733
QG810	3.5104071833551336
QG2659	5.786451381223136
BRC20238	5.866437496082803
JU836	3.672382918841664
QG121	5.112145315581914
JU372	6.771048090821695
QG1153	2.1358666051285846
JU2256	5.620974134118857
QG1146	3.1268067222177476
NIC1106	2.1294738805729407
QG878	6.095811165577866
NIC157	5.9064767882611084
QG774	3.6041897471593805
QG4067	4.007800607436225
ECA1591	4.003510022777857
QX1798	4.6671142853056775
EG5784	2.225629828132176
QG790	4.142448524258177
ECA1563	4.373369516668831
JU2793	4.85625755899541
NIC1292	5.415112375381001
BRC20524	4.63135941315261
ECA1597	2.14026815318329
NIC96	2.4443818347445267
QG945	7.84591352334049
ECA1459	3.8302653379299803
QG992	2.0596224225787307
QG1134	5.806492603528244
NIC362	3.5267927782142467
JU2584	3.8428905065798915
BRC20242	2.352744563269464
NIC1591	2.3677431156743634
JU351	4.683999215448309
NIC811	3.1725113122423765
NIC367	3.7143517411896103
QG890	13.04239102013861
QG4069	2.098237684504045
JU2786	6.192990442236654
QX1545	2.8013942331929154
NIC1289	7.435164017899292
ECA2115	3.3366015168924417
JU3273	3.324124299437647
ECA2624	5.497459544729396
QG4094	3.767262787343022
QG2737	7.741854516108802
QG779	3.9014606859464953
QG3825	4.30123097978345
NIC558	3.8707669775930253
JU1997	4.067770158523303
QG2694	5.711760686222002
QG807	3.673880924692215
QG865	5.45124329015499
NIC341	3.213352006727563
QG830	5.413774649991826
NIC1131	3.816265456092115
ECA2368	11.873021761739372
QG887	6.036889602122861
QG3784	11.28978582132527
QG2901	8.334337406217665
EG6262	3.957053347511387
JU3416	2.293372981595981
QG115	4.705945309390536
JU1340	5.177958938876079
QG771	4.921226627550787
QG952	11.40833171641208
BRC20093	4.917527847672884
JU2779	4.594716833828844
ECA287	2.1995411007266954
QG997	3.2377947770873763
QG3929	8.214373645510992
ECA185	2.146636219206414
NIC1069	2.9215675914260046
QG2690	4.9342093449222295
JU3281	5.41630831420819
MY918	3.754551313829293
ECA1557	1.7309488426282138
JU2849	4.672779583152001
QG2734	2.7616939958367497
QG4130	6.004543772090594
NIC107	2.034970054692503
QG577	4.071055907981507
ECA346	1.3280715736938198
NIC73	3.4154163514574383
NIC1633	2.6578075983326963
ECA1487	2.5378623315254116
NIC985	4.138731250480884
XZ1211	4.6894302572356965
QG3927	8.258389126058045
JU2221	4.672576150258715
NIC901	2.3824149425233814
JU1497	6.341373161671889
BRC20121	2.655933549861225
ECA2670	1.4778166770507486
JU2248	3.193853272137881
QG950	5.238304532584077
NIC373	5.773326877289708
QG4101	2.454165107521582
QG2784	2.76131795321583
QG3932	3.992604786771171
QG3841	4.695477762336069
QG875	13.566508128837553
XZ1210	3.7269214281413525
QG760	3.4923509729178344
XZ1732	3.4865993702076943
JU373	8.42477257423241
JU1338	5.588085816371164
QX1547	6.976761898364435
NIC1103	4.971369753428902
BRC20122	2.7214081183332492
QG3832	2.020470837571121
QG750	8.992720224484513
QG731	4.780574358060372
JU1500	5.310782124291598
EG6276	2.648338721845263
ECA2275	4.924746633067926
QG2909	4.3148424897341355
NIC70	2.96164387140309
BRC20342	1.6946329888603298
QG776	3.3691199566523444
JU378	9.700235168796182
QG4133	4.727003696162067
NIC578	3.2848679156668297
QG933	11.596291380540883
NIC28	2.462752441471448
MY754	4.141548487821221
QG574	4.00378126663557
JU845	3.657008323815844
QG870	4.139366207693258
NIC32	4.869758105549758
QG3822	9.826055330976203
BRC20540	3.683355965812778
BRC20120	6.34057175936501
QG806	4.101835921198796
NIC817	1.8088328175906045
JU1473	5.274564904653793
QG109	3.6007437172398
ECA1641	6.1603117220153765
ECA1499	1.9682009132632126
QG723	5.2118027747588975
JU2595	3.54700661024699
NIC419	7.622753804040306
NIC549	4.447129352067359
QG993	5.295937687714946
EG6261	3.867598356164288
NIC1533	1.6908787272842576
NIC1483	4.910802232928229
NIC179	5.6019932287120815
NIC778	2.3984429886609635
ED3085	3.1430813536805235
ECA175	3.1240018141436705
JU2247	3.7052219195243183
ECA276	6.053768367632362
BRC20520	3.8603857354023754
ECA2470	1.0157897532355455
QG2849	6.414793942248276
JU2556	3.787396479145077
ECA1577	2.328579201400494
QR25	5.510004573148618
JU1776	4.715198423718425
BRC20246	5.471740695311705
NIC1308	3.358473635237112
QG832	1.8009482518175401
MY2717	2.1659993318672393
QG2695	5.504530378929322
NIC1217	2.8677133564037276
NIC76	2.672553400779272
QG741	4.0118569360356595
QG4066	2.9445308498346563
EG4360	1.9607602010754965
NIC1668	2.5398843311919985
NIC1059	6.455788752561708
BRC20107	1.6685319321885899
QG2729	3.3173062151960444
NIC23	4.178147914713077
NIC556	4.863112631035792
QG816	8.702057772412585
QG3923	7.463028159646166
JU2781	2.003068078245584
QG809	2.999420743222746
JU844	3.910535025913619
NIC1629	1.7080164073852113
JU2850	3.9970248287252654
NIC108	3.2284491932625397
BRC20069	4.119103058595475
ECA2387	1.9660494563008986
QG4211	2.9088931057110545
ECA1609	3.97613905168137
QG805	5.1622761121937675
NIC864	3.8002435745876624
QG2684	3.7900041189589992
JU1907	5.107324572474379
QG1143	9.859960813190318
MY2132	6.824988630707789
QG3804	6.332557736296218
NIC1356	3.5879829266610326
BW287	5.215581694867489
BRC20347	3.789541771474261
NIC504	3.8293283136942446
JU1556	7.445705540551318
EG6269	2.0407401513020327
EG4365	1.8725936180525335
ECA1156	3.0974384099871926
JU2138	3.9826858920652595
NIC309	3.423128307502868
QG874	5.716624581761446
NIC160	5.745062034389394
QG1102	2.2817156603474547
MY756	4.9306831747719615
QG753	8.773382577724828
NIC325	7.422896397970912
JU2777	7.354530616560994
QG4059	2.741609621099733
QG1104	5.489858552080303
NIC1693	5.851962937493939
QG3801	1.5364608320149107
BRC20369	6.391183397360991
BRC20339	1.691784928354344
QG4095	2.7927205943792317
QG994	7.709120314189355
NIC1185	5.287054451374847
ECA2501	1.6406862843411054
QG117	5.013178295315472
NIC209	5.3152946357426405
BRC20090	3.575308440946083
QG2967	5.338757229434809
QG1149	6.76543827467354
NIC119	4.5705946243917825
ECA2808	2.8490961643516126
JU1885	3.4962285271565032
ECA360	1.4954721863346085
QG985	14.309408067314498
JU356	4.031238542595874
ECA2625	2.5565473345419547
QG2779	7.382579697301763
EG6263	4.810491322639482
BRC20542	3.9976474566713796
BRC20073	3.8179237424040418
QG581	3.969462754001754
BRC20269	7.2103398476540494
QG2820	6.784055466725656
ECA1130	4.601750680229991
QG763	10.11517662476567
JU1435	3.0185927522565468
JU280	6.888484351945135
JU2577	5.361270469624983
NIC1351	4.365756194753479
MY752	3.9896704214013674
QG3025	4.181945328721058
ECA2632	2.956853951461205
ECA1535	2.1658390514058636
NIC1287	4.447012224037892
QG2894	7.337639521785233
QG762	7.943068141466759
ECA1469	3.2629279863577314
ECA2379	2.5817052023448293
ECA2627	9.265320301486012
NIC1104	6.96122702287724
QG1150	2.908720495983419
MY682	5.301997522081577
JU2823	8.026660566707383
QG2657	4.3951799886822025
QG1145	2.5724459233838104
QG3045	3.546007939679956
JU1533	4.0072766136201885
QG742	3.1129794501075176
JU1046	7.273280751909709
GXW0024	5.8933769428602005
NIC583	2.6224842504987165
NIC329	3.050174167780714
NIC1373	3.6898904769304077
NIC163	5.005873205056613
BRC20536	3.8562369373059937
BRC20123	3.014024759107336
QG1141	8.306226679145599
JU3205	6.905437093052193
QG3004	2.579282501524802
ECA178	3.0601793673504436
BRC20324	2.797152965599586
JU1337	3.7000929447602915
NIC181	6.582718548705101
BRC20234	3.189309937521189
NIC61	3.898865375398833
JU1499	5.944142696684428
MY681	3.5930872428925396
QG1114	4.636833607371907
MY661	6.397656262147322
NIC498	5.058839732908192
QG2890	1.9570860797301122
QG2683	6.627905309546824
QG791	8.515824205560136
JU2835	6.185223004493057
QG886	6.188305321057976
NIC154	4.911924196157861
NIC1664	3.8121906335932914
NIC1595	2.5636428272744
QG133	1.5416514531102354
QG3926	3.2505247445004946
JU841	3.7132359425931094
NIC106	3.8989578448957807
QG881	2.4132566020719675
JU2894	9.052023995193569
JU2145	3.872388276106173
QG770	3.3527651849588804
QG1152	4.2128732931334625
BRC20294	5.7634881228144845
QG4209	2.9799528317987134
QG2616	4.123424466419493
NIC331	3.3699275235923536
ED3098	5.16410700823333
NIC88	5.43164592143523
NIC93	2.54944567717638
BRC20345	6.179181664025815
JU2893	5.1230443869554705
NIC103	2.495585277520973
BRC20537	5.753994587794532
BRC20348	6.22005318167665
JU1995	3.938257381098507
NIC377	4.56108259547244
ECA1407	4.951273049425625
QG2624	4.030307682993269
ECA1183	2.3533117095174094
QG2622	4.1852927245105604
MY755	3.034349554536416
QG783	4.429652617144265
JU1827	3.388211825455457
JU839	4.855770552978153
JU2573	1.7945493626287667
ECA1501	1.6377704128706914
JU2767	3.073316200550131
JU1346	5.520324169007969
NIC38	4.9229465601940126
QG744	5.239839526233407
NIC30	4.195008186323188
JU2910	3.2237270842850827
ECA2633	1.4085755177363926
MY765	3.7878711558960747
NIC117	3.000702986913753
JU2055	2.5336765456302506
QG4123	2.9878127390392586
QG4112	2.831582441629739
QG3930	10.995054711387647
NIC1527	3.397594397079073
ECA2662	3.4502958457060697
QG923	4.4072565049835575
NIC745	4.115459760415741
QG2678	9.354214311218296
ECA1153	3.87479864765994
NIC1589	1.36952256685886
JU2536	3.72819750719923
NIC1052	2.6367615408274245
QG3796	5.205058666114853
BRC20092	2.1666897707777815
JU4058	2.0356111765380063
QG4117	1.5982736084078104
JU2905	10.937477037954947
JU793	2.2038933317163623
NIC156	4.336640632481248
NIC170	6.3191188360731685
ECA1162	2.844096646883313
QG2617	3.734405292760978
ECA1601	3.4921043875926405
JU2594	5.007420527972202
NIC839	6.374600534241724
JU1994	4.487630991730405
NIC74	2.938298405740389
NIC552	5.235918819562829
NIC906	3.2389907159145648
ECA1573	2.1685329960836035
ECA1645	7.000249150589124
NIC1423	7.216134602796099
NIC1625	1.7553114727573391
NIC1202	5.168810623311397
QG777	3.9215388960503827
QG986	4.957363706957906
ECA1553	2.478176353562306
QG108	3.5921748771893234
ECA2383	2.7308400070219037
BRC20232	2.9208894817817224
QG3017	8.89914109357355
QG3820	3.0443485894730156
QG2887	8.611437665403948
ECA186	2.60545136916097
JU838	4.135359196158862
ECA2631	4.792576898764169
BRC20530	3.933504448955401
NIC1414	4.13927373819631
QG2665	5.6177561956250806
QG129	5.029360457281301
MY2249	2.604767094883558
QX1795	7.01146878288543
NIC333	2.5186286761603123
ECA1575	2.812952920311364
QG1111	4.667206754802626
QG786	6.174619835509733
ECA1146	2.9475576847014073
QG2848	5.049198246693124
QG116	4.281171263578953
QG4129	5.2987980774871914
NIC1123	8.00718032601709
QG3002	2.5162799509378435
ED3103	3.432319775499458
NIC1540	1.289875506821335
QG761	4.439096835099178
ECA1431	3.1932429734580268
QG743	3.6274797311239135
JU1377	3.318335708928728
QG3044	4.6641429321370955
JU1551	3.769377256506557
QG2631	4.225221053292531
NIC317	3.4395878779595384
JU2053	2.490739875880919
BRC20462	1.6444282166509179
BRC20255	4.620645280772949
QX1414	2.037442072577569
QG128	4.720247258251764
ECA1163	4.517165749055464
BRC20498	3.608523484249657
QG796	3.8532532548711513
YR88	2.095956770246004
JU3326	5.54489639666351
QG1002	5.3553462571872075
ECA1429	5.571385825222429
QG3798	4.885699846823523
PB859	3.2618121877612305
JU2101	5.251916042534762
JU1498	5.329232871249208
NIC161	7.1048013284712
BRC20525	3.557954998685585
QG580	4.995122084878172
NIC805	3.7432515413022975
NIC1221	2.65611848885512
NIC791	1.2406940637114763
MY702	4.482187620676756
BRC20526	2.1923223153316536
JU1341	3.3017096933775507
NIC576	3.95501285394541
NIC1055	2.183808956979345
QG550	2.3816258694827614
JU3200	3.5079228362038086
QG792	7.24177947661623
