isotype	length
AB1	12.607227660749393
BRC20067	7.660444756609747
BRC20263	8.76885740381525
CB4851	19.51629412323085
CB4852	11.749609060058763
CB4853	10.529434956501067
CB4854	11.915645091920915
CB4855	51.984603346209
CB4856	17.55230402768127
CB4857	17.783590011605327
CB4858	53.757662043571266
CB4932	13.96857589135796
CX11254	19.67229170092963
CX11262	14.373326363225063
CX11264	55.279224002627224
CX11271	24.82509714601552
CX11276	15.993265173082056
CX11285	9.863985830011229
CX11292	45.463757367738964
CX11307	9.081923327656902
CX11314	31.53392990945161
CX11315	68.69916491244311
DL200	8.950151886005724
DL226	9.738705922052363
DL238	67.83719631494834
ECA1069	9.835342774131744
ECA1074	8.063938414015595
ECA1185	11.54455690301498
ECA1186	12.496470049813539
ECA1187	11.916280860684594
ECA1191	11.46960311192848
ECA1192	11.603114552301308
ECA1193	11.009641142162838
ECA1194	12.501087738728689
ECA1195	11.634635298374294
ECA1196	12.060934985178765
ECA1200	13.491080088320299
ECA1202	11.030420742281017
ECA1206	20.9171102094584
ECA1208	13.05814163716245
ECA1212	12.736121412207073
ECA1216	10.5936643323897
ECA1223	11.452035817142582
ECA1225	11.739654259680089
ECA1228	11.288040937626983
ECA1229	10.685358918869316
ECA1232	12.579856142397269
ECA1237	11.534574218041406
ECA1238	12.067024980704543
ECA1240	12.460331614825403
ECA1242	10.71424289764872
ECA1243	12.215928717461207
ECA1247	14.686509402365287
ECA1251	12.537360019772333
ECA1252	13.280473319972781
ECA1253	11.274187870881532
ECA1255	13.003121985276811
ECA1257	11.522427688503727
ECA1260	12.574401915635171
ECA1261	12.017836555304028
ECA1269	10.739361340733064
ECA1271	11.131173360567379
ECA1276	10.13860447440717
ECA1278	10.674089080995236
ECA1281	14.862092004136803
ECA1283	15.013445123709328
ECA1284	15.958164045024137
ECA1286	11.632359915430595
ECA1287	12.854307479223822
ECA1288	13.155818026939638
ECA1289	12.40184088856683
ECA1293	11.460535041667569
ECA1298	13.237589043786864
ECA1316	17.913889146645875
ECA1409	8.570296780463782
ECA1413	11.602227822183545
ECA1493	10.15679080719981
ECA1693	26.827634905552443
ECA1713	14.19825572261588
ECA1717	14.961379008115314
ECA1725	9.776985893928684
