ReadGroup	LENGTH_ESTIMATE
BRC20400	15.02670618428424
NIC550	15.074132164265055
JU1634	16.72007235676279
NIC938	11.338603293812712
NIC536	13.27651506488323
NIC1646	12.27875867514144
NIC374	12.683949002286603
QG3877	20.198983560991678
QG3812	16.003336455670944
NIC1137	15.555548975597558
NIC749	17.611163406075004
NIC588	17.245552214950195
NIC114	14.067063036636123
NIC575	14.359638218590483
NIC382	15.574691825698906
NIC1381	15.93211125664521
NIC1337	13.939702723124013
NIC441	15.119747334101145
NIC1976	15.089049790695384
QG3821	11.836058709284183
NIC1930	19.657723785828843
QG3872	13.97695367467258
QG3526	20.927877758769515
NIC1166	11.611776938502194
QG850	14.261078409284902
NIC1477	14.741719159126813
QG3838	12.447164018600581
NIC972	11.947811563929879
NIC1556	10.033009179468191
NIC1551	11.180545436894839
JU1631	18.153802846110015
NIC1354	15.00195844563971
EG5889	11.811828344966711
NIC748	14.52442194176018
NIC591	15.700413787175314
NIC469	36.32416167068606
NIC1644	14.535373031683022
QG2772	21.454823510883603
NIC941	10.373613944784937
NIC1940	17.478888036455793
QG3514	14.007909905241872
NIC122	13.210549838182645
NIC945	13.128201091125051
NIC1328	11.243751333851087
NIC751	19.95340321374558
NIC567	17.824752774097682
JU1872	14.661353680322962
QG2697	14.627983036227372
QG3790	11.841059994445795
JU1871	16.719641211490234
NIC946	14.94901380617022
NIC1116	12.918492030555349
NIC99	13.609014299075984
QG2898	14.125871251812333
ECA1301	11.542448778675697
NIC1393	15.147426860599037
QG853	11.11259694194051
NIC944	13.7086950860902
JU1428	14.104745133457243
NIC1170	10.052669403896601
NIC905	12.92159627651773
QG2899	13.63876332288213
QG3802	9.523395467310731
NIC1564	12.408188485961805
NIC1270	14.261164638339414
QG3868	12.311008341528392
QG3845	14.786127122199755
NIC1534	10.511666661056358
NIC390	13.932890627817681
QG3055	14.328509529912168
NIC1419	13.086035083469383
NIC1146	14.573400044722183
QG1000	15.021015066686546
NIC1467	11.165282894246468
NIC926	13.93599487378006
NIC1405	12.265910546019365
NIC535	15.735077867088563
NIC372	19.318067540111713
NIC1585	11.496316234512541
JU1851	14.512608561292232
QG3854	10.756470946811861
QG3539	10.593239346623356
ECA800	9.229871765756755
NIC1344	13.787163525694817
NIC1178	11.860030386438119
NIC1121	15.133802669986368
QG2725	14.030243230360112
NIC934	12.673515286690824
QG3833	19.00669442427405
QG3013	13.239609029552707
NIC1174	13.248318164058274
JU1849	18.80854005700876
NIC1278	12.285312083284245
NIC393	15.666525768752662
NIC1543	10.85615173382608
ECA803	8.49952029695769
QG3831	11.258237815008862
QG3011	11.527358694136346
NIC1293	11.864255610109138
NIC965	12.341102281552583
NIC895	8.890732894366689
NIC1129	14.825620029165595
NIC976	13.776298664826488
QG942	12.835453451061673
NIC975	17.321347553864985
