isotype	length
BRC20069	4.119103058595475
BRC20073	3.8179237424040418
BRC20075	1.769625750884826
BRC20077	6.8584625886028165
BRC20081	2.674230180990589
BRC20085	3.105076390435064
BRC20088	5.98588342760657
BRC20089	2.5957297427152137
BRC20090	3.575308440946083
BRC20092	2.1666897707777815
BRC20093	4.917527847672884
BRC20095	2.1213119063090335
BRC20096	5.9949762614730835
BRC20098	3.6706136691334
BRC20099	5.039267022720952
BRC20100	7.015907318738915
BRC20102	3.5431352206414513
BRC20103	5.1169907172219675
BRC20107	1.6685319321885899
BRC20229	1.8423869157163204
BRC20230	2.915476933893723
BRC20232	3.327218945268826
BRC20238	4.490807010718897
BRC20239	2.072272249761161
BRC20241	3.9614117431341835
BRC20242	2.352744563269464
BRC20244	4.268872820484924
BRC20246	5.393280327151674
BRC20260	5.0187572882979765
BRC20289	3.184939212632133
BRC20290	3.8936747543035084
BRC20294	5.230632646653992
BRC20308	4.8988675031888596
BRC20309	6.576677208237858
BRC20311	8.622441535540709
BRC20312	4.538347428489593
BRC20315	5.402961883482087
BRC20320	2.8227546869878086
BRC20324	2.797152965599586
BRC20331	6.966343668375006
BRC20333	2.343916808627534
BRC20334	3.789751369000676
BRC20339	1.691784928354344
BRC20341	3.7720650365511665
BRC20343	3.2536286372813685
BRC20346	3.825444594822446
BRC20347	3.789541771474261
BRC20348	6.22005318167665
BRC20366	4.066167353909544
BRC20367	3.0817309247723617
BRC20369	6.391183397360991
BRC20370	6.742875717418328
BRC20390	2.1251423851674383
BRC20401	5.029699512103442
BRC20463	4.47241051253283
BRC20492	4.23865378888245
BRC20498	3.1954437474853794
BRC20499	2.242212691251444
BRC20501	5.891848113844
BRC20503	3.4662560808792238
BRC20519	3.89514193698841
BRC20520	3.8603857354023754
BRC20522	3.8287077406258407
BRC20524	4.63135941315261
BRC20528	2.335015078388046
BRC20529	3.2729393505605904
BRC20530	3.933504448955401
BRC20531	2.3976415863540845
BRC20532	3.199216502960841
BRC20533	2.322685812128367
BRC20534	3.508058458132665
BRC20535	3.0545818804685494
BRC20536	3.8562369373059937
BRC20537	5.753994587794532
BRC20540	3.683355965812778
BRC20541	3.6559726654500313
BRC20543	3.9191634574176843
BRC20544	2.5583843952146466
BRC20545	3.272643448170358
BRC20556	2.824363656234697
BRC20557	3.0706715729374303
BW287	5.215581694867489
ECA1129	3.5752406299816544
ECA1143	4.02873775642287
ECA1146	2.9475576847014073
ECA1147	3.8036587813415936
ECA1149	3.8513206423849464
ECA1160	3.6068261552612415
ECA1164	3.3555639283998278
ECA1170	3.4654300200398254
ECA1174	3.1561480641783595
ECA1383	3.841894681228148
ECA1411	6.885217096386319
ECA1423	4.093371879911525
ECA1429	5.379844509245189
ECA1431	3.1932429734580268
ECA1437	3.660704021377183
ECA1443	2.0865988571549083
ECA1459	3.3532555535033
ECA1471	3.2759230329954327
ECA1495	2.2590976213940737
ECA1511	5.956493539160062
ECA1517	2.4770543903326754
ECA1555	5.079728592268653
ECA1559	2.211113567613317
ECA1561	5.210286275008957
ECA1563	4.2918021734113605
ECA1571	2.456674113205427
ECA1587	3.635167028636823
ECA1605	1.8665954300171996
ECA1609	3.1423395428272327
ECA161	3.908395898217565
ECA1611	3.1299630143802255
ECA1615	3.4095599499840907
ECA162	3.4356055249576625
ECA1621	3.3946415378098793
ECA163	5.916068957411139
ECA1637	5.632649949266773
ECA1657	8.770855078141594
ECA1706	1.165658149255071
ECA175	3.1240018141436705
ECA176	7.351879824315162
ECA177	3.1233730215644266
ECA180	6.752430898769579
ECA182	2.6469146915922703
ECA183	2.6271323838786156
ECA185	2.146636219206414
ECA186	2.60545136916097
ECA2083	5.287010066016312
ECA2093	2.3463148509150415
ECA2115	3.3366015168924417
ECA2299	3.599811316478912
ECA2373	8.471120340980253
ECA2385	2.48885069603722
ECA2425	4.1043572561489
ECA2617	4.0066724795734645
ECA2618	2.6176511781249228
ECA2621	3.962606312042899
ECA2623	8.338301265320153
ECA2625	2.75670064300158
ECA2626	8.782167179934849
ECA2636	5.02160997227881
ECA2637	3.604134265461212
ECA2639	3.7687238053947936
ECA2647	2.5797029295042573
ECA2663	3.4192889739896035
ECA2664	3.962361096636179
ECA2666	6.326393103166379
ECA2667	3.3458607958534605
ECA2670	1.6352213370715027
ECA276	5.4334768174747925
ECA278	3.1408035217390475
ECA2808	2.9910861592312035
ECA287	2.1995411007266954
ECA288	3.5757646237976908
ECA343	2.197303338900564
ECA346	1.3280715736938198
ECA371	2.019126947548816
ECA569	3.318508318656363
ED3036	5.9079624648454
ED3088	3.60169615305836
ED3102	4.024051813293108
EG4360	1.7558046434077261
EG5612	3.3002764161748632
EG5613	3.1191009308054483
EG6179	2.882403677152135
EG6260	3.291787716355074
EG6261	4.317252861287903
EG6265	2.9842495810902117
EG6267	4.311125215956842
EG6268	1.6000305288498144
EG6271	3.7697841222931263
EG6272	2.2815553798860786
EG6274	3.7440899314079554
EG6275	4.98406889767637
EG6276	4.27047315924543
EG6329	2.5227589803573047
GUN124	8.039113125629658
GXW0022	5.3453373588376
JU1257	2.768505915445222
JU1337	3.7000929447602915
JU1338	5.3688505025214335
JU1341	3.3017096933775507
JU1344	2.8640412899360532
JU1346	5.520324169007969
JU1347	3.3895248923121133
JU1348	1.140555763150365
JU1375	4.462584087323867
JU1377	3.318335708928728
JU1378	3.2529844331193005
JU1392	4.20181394129853
JU1399	12.396768992450529
JU1424	2.6906219404828313
JU1435	3.0185927522565468
JU1564	5.329633572402647
JU1637	1.4804243168646707
JU1638	3.273229088317693
JU1794	2.1160781327817997
JU1795	4.253861938813764
JU1799	5.001490150901297
JU1802	3.1658411791958905
JU1814	4.094043824922679
JU1884	3.1022838116272466
JU1885	3.4962285271565032
JU1907	5.107324572474379
JU1908	2.764030391792959
JU1909	2.097368471232737
JU1913	2.176072342401397
JU2053	2.2787895144884907
JU2054	2.964978937926334
JU2056	2.3802141684960283
