isotype	length
BRC20069	4
BRC20073	4
BRC20075	2
BRC20077	7
BRC20081	3
BRC20085	3
BRC20088	6
BRC20089	3
BRC20090	4
BRC20092	2
BRC20093	5
BRC20095	2
BRC20096	6
BRC20098	4
BRC20099	5
BRC20100	7
BRC20102	4
BRC20103	5
BRC20107	2
BRC20229	2
BRC20230	3
BRC20232	3
BRC20238	4
BRC20239	2
BRC20241	4
BRC20242	2
BRC20244	4
BRC20246	5
BRC20260	5
BRC20289	3
BRC20290	4
BRC20294	5
BRC20308	5
BRC20309	7
BRC20311	9
BRC20312	5
BRC20315	5
BRC20320	3
BRC20324	3
BRC20331	7
BRC20333	2
BRC20334	4
BRC20339	2
BRC20341	4
BRC20343	3
BRC20346	4
BRC20347	4
BRC20348	6
BRC20366	4
BRC20367	3
BRC20369	6
BRC20370	7
BRC20390	2
BRC20401	5
BRC20463	4
BRC20492	4
BRC20498	3
BRC20499	2
BRC20501	6
BRC20503	3
BRC20519	4
BRC20520	4
BRC20522	4
BRC20524	5
BRC20528	2
BRC20529	3
BRC20530	4
BRC20531	2
BRC20532	3
BRC20533	2
BRC20534	4
BRC20535	3
BRC20536	4
BRC20537	6
BRC20540	4
BRC20541	4
BRC20543	4
BRC20544	3
BRC20545	3
BRC20556	3
BRC20557	3
BW287	5
ECA1129	4
ECA1143	4
ECA1146	3
ECA1147	4
ECA1149	4
ECA1160	4
ECA1164	3
ECA1170	3
ECA1174	3
ECA1383	4
ECA1411	7
ECA1423	4
ECA1429	5
ECA1431	3
ECA1437	4
ECA1443	2
ECA1459	3
ECA1471	3
ECA1495	2
ECA1511	6
ECA1517	2
ECA1555	5
ECA1559	2
ECA1561	5
ECA1563	4
ECA1571	2
ECA1587	4
ECA1605	2
ECA1609	3
ECA161	4
ECA1611	3
ECA1615	3
ECA162	3
ECA1621	3
ECA163	6
ECA1637	6
ECA1657	9
ECA1706	1
ECA175	3
ECA176	7
ECA177	3
ECA180	7
ECA182	3
ECA183	3
ECA185	2
ECA186	3
ECA2083	5
ECA2093	2
ECA2115	3
ECA2299	4
ECA2373	8
ECA2385	2
ECA2425	4
ECA2617	4
ECA2618	3
ECA2621	4
ECA2623	8
ECA2625	3
ECA2626	9
ECA2636	5
ECA2637	4
ECA2639	4
ECA2647	3
ECA2663	3
ECA2664	4
ECA2666	6
ECA2667	3
ECA2670	2
ECA276	5
ECA278	3
ECA2808	3
ECA287	2
ECA288	4
ECA343	2
ECA346	1
ECA371	2
ECA569	3
ED3036	6
ED3088	4
ED3102	4
EG4360	2
EG5612	3
EG5613	3
EG6179	3
EG6260	3
EG6261	4
EG6265	3
EG6267	4
EG6268	2
EG6271	4
EG6272	2
EG6274	4
EG6275	5
EG6276	4
EG6329	3
GUN124	8
GXW0022	5
JU1257	3
JU1337	4
JU1338	5
JU1341	3
JU1344	3
JU1346	6
JU1347	3
JU1348	1
JU1375	4
JU1377	3
JU1378	3
JU1392	4
JU1399	12
JU1424	3
JU1435	3
JU1564	5
JU1637	1
JU1638	3
JU1794	2
JU1795	4
JU1799	5
JU1802	3
JU1814	4
JU1884	3
JU1885	3
JU1907	5
JU1908	3
JU1909	2
JU1913	2
JU2053	2
JU2054	3
JU2056	2
JU2057	3
JU2214	3
JU2216	4
JU2457	4
JU2470	3
JU2472	3
JU2506	2
JU2507	3
JU2518	3
JU2536	4
JU2597	4
JU2747	4
JU2767	4
JU2799	5
JU2801	4
JU2836	5
JU2849	4
JU2861	4
JU2868	5
JU2872	2
JU3171	3
JU3200	4
JU3201	4
JU3202	7
JU3203	7
JU3206	2
JU3237	3
JU3272	3
JU3281	5
JU3319	5
JU3321	6
JU3326	6
JU3327	3
JU3416	3
JU4042	1
JU4051	2
JU4058	2
