strain	length
MY2004	10.55650532122829
ECA1931	26.09978005568032
ECA777	16.617723945071464
WN2002	10.873318934624265
ECA1847	24.683421096256485
ECA2598	11.079575706167653
QG4135	16.40745179186273
ECA1825	29.989681043986433
JU3398	7.588402117230624
QX1212	44.05536224861806
ECA1197	11.913436632004972
QG2857	8.564809092187804
MY2491	7.414603014148801
ECA395	17.05479823934462
QX1214	53.53112759461787
ECA350	31.722853616806244
ECA737	12.2948309671853
WN2063	10.373671609399432
ECA2521	12.72019373160119
QG2828	9.370963884534222
NIC3	4.31761275099623
WN2039	11.760785205693983
DL238	67.83719631494834
ECA2452	11.407297773087826
ECA1735	19.928740743289872
QG2858	8.97190187002636
ECA2403	11.46799695926234
KR314	46.069745384067765
ECA748	15.330057968022038
MY589	9.805896641919192
JU4082	9.960288066951831
JU1511	7.513916787338413
ECA765	15.505128608631221
QX1216	27.624487397040802
JU2141	6.643783580457449
ECA254	7.230296995709316
NIC268	11.291052473875995
MY2623	36.95201823656151
ECA616	5.052407518846633
JU3136	19.76223625023343
ECA809	14.163924209377154
JU3139	13.198626457027434
WN2073	8.502704522430419
QG2835	9.696745183649474
ECA2326	27.091244711882556
QG2830	10.482421529502613
QG2875	8.89775115527293
JU2526	5.743929856950132
QG4103	17.734535432260323
ECA1953	35.536796968609515
ECA1212	10.951217338932022
JU2802	8.572103702213187
ECA1995	11.348940892884766
ECA2287	13.162086483872766
ECA2547	9.217910920056697
MY819	9.646887527971401
QG2813	9.320236229495322
ECA1223	10.775812083184059
ECA1208	12.764429852947778
ECA1951	37.264348007097844
ECA754	11.472280033038713
ECA1293	11.207130997070216
QG4016	14.106303482479404
ECA1200	13.491080088320299
QG4004	13.086664231591975
ECA761	12.139770311875102
JU1924	18.487486417540875
ECA1198	12.248051770783993
JU1249	12.41348549539634
JU4074	11.712935240848584
MY18	11.420347763500208
JU3137	22.202718303404335
MY795	12.48174698370726
ECA710	10.84996279793749
ECA2554	11.424430068193313
JU3400	8.863821180200738
MY2688	7.507626022729368
ECA1214	10.653811403585228
MY2685	12.099415726138352
ECA1316	17.913889146645875
NIC1792	11.421485454972057
JU4073	13.288035622109188
ECA1903	29.632044383659416
MY2338	7.572942897819033
ECA2572	17.54099403599054
WN2096	10.341280863965624
ECA349	32.298123963395135
QG2811	10.337733943494566
ECA1715	17.843486121446773
ECA1927	13.334747895482739
ECA1767	13.678598412092061
JU2016	14.278295663811821
JU2527	6.1168651214221255
JU2106	6.795297315296589
ECA2107	11.79337672021106
MY2679	11.132311052039228
MY864	10.276298604014737
NIC1810	15.003272823490448
ECA749	18.839033082342112
ECA1759	13.98276357324219
