isotype	length
BRC20391	18
BRC20400	15
BRC20464	11
BRC20548	11
ECA1299	13
ECA1300	12
ECA1301	12
ECA1302	11
ECA1303	13
ECA1304	12
ECA1305	10
ECA1306	6
ECA1307	12
ECA1310	7
ECA1311	9
ECA1312	8
ECA1401	17
ECA1403	13
ECA1405	14
ECA1445	11
ECA1447	11
ECA1449	13
ECA1451	13
ECA1481	11
ECA1518	7
ECA1579	8
ECA1581	8
ECA1583	8
ECA1585	8
ECA1599	8
ECA2087	10
ECA788	15
ECA789	19
ECA790	16
ECA791	14
ECA792	15
ECA793	17
ECA794	15
ECA796	11
ECA797	10
ECA798	11
ECA799	12
ECA800	9
ECA801	11
ECA802	9
ECA803	8
ECA804	9
ECA805	6
ECA806	13
EG5889	12
EG6180	16
JU1373	15
JU1374	13
JU1428	14
JU1630	17
JU1631	18
JU1632	12
JU1633	15
JU1634	17
JU1635	20
JU1636	15
JU1639	14
JU1640	12
JU1641	14
JU1800	14
JU1818	19
JU1819	20
JU1821	9
JU1835	16
JU1838	20
JU1845	15
JU1846	12
JU1847	19
JU1848	13
JU1849	14
JU1850	16
JU1851	15
JU1870	18
JU1871	16
JU1975	11
JU1976	14
JU2505	18
JU2750	15
JU2752	14
JU3170	12
NIC1000	16
NIC1004	15
NIC1005	12
NIC1012	12
NIC1016	12
NIC1028	10
NIC1033	14
NIC1038	14
NIC105	16
NIC1112	8
NIC1116	16
NIC1121	14
NIC1126	14
NIC1136	13
NIC1137	16
NIC114	14
NIC1140	16
NIC1142	14
NIC1144	12
NIC1145	12
NIC1146	15
NIC1147	12
NIC1149	14
NIC1150	13
NIC1151	11
NIC1152	10
NIC1153	13
NIC1155	12
NIC1156	12
NIC1157	15
NIC1160	13
NIC1161	14
NIC1163	13
NIC1164	15
NIC1165	15
NIC1167	11
NIC1168	12
NIC1169	13
NIC1170	10
NIC1175	15
NIC1176	11
NIC1177	10
NIC1179	19
NIC1180	14
NIC1181	17
NIC1188	19
NIC1192	16
NIC1193	12
NIC122	13
NIC124	14
NIC125	13
NIC1252	15
NIC1254	13
NIC1257	12
NIC1268	11
NIC1270	14
NIC1272	14
NIC1275	15
NIC1276	16
NIC1277	13
NIC1278	15
NIC129	17
NIC1290	12
NIC1293	15
NIC1300	12
NIC1301	15
NIC1305	13
NIC1307	12
NIC1309	12
NIC1313	12
NIC1316	12
NIC1317	14
NIC1321	14
NIC1323	16
NIC1328	11
NIC1337	14
NIC1338	14
NIC1341	14
NIC1343	9
NIC1344	14
NIC1354	15
NIC1355	13
NIC1359	16
NIC1363	15
NIC1372	14
NIC1376	15
NIC1378	13
NIC1381	15
NIC1382	14
NIC1383	15
NIC1384	18
NIC1386	16
NIC1389	15
NIC1391	10
NIC1392	12
NIC1393	15
NIC1395	18
NIC1400	13
NIC1405	12
NIC1408	15
NIC1410	14
NIC1411	14
NIC1415	15
NIC1419	15
NIC1420	16
NIC1422	13
NIC1425	13
NIC1430	13
NIC1432	16
NIC1433	15
NIC1438	11
NIC1453	14
NIC1470	14
NIC1476	18
NIC1477	16
NIC1478	15
NIC1514	13
NIC1526	11
NIC1531	13
NIC1534	11
NIC1541	9
NIC1542	11
NIC1543	11
NIC1545	10
NIC1546	15
NIC1547	9
NIC1548	9
NIC1549	12
NIC1550	12
NIC1551	11
NIC1553	12
NIC1555	18
NIC1556	10
NIC1557	10
NIC1559	11
NIC1560	11
NIC1561	13
NIC1563	13
NIC1564	12
NIC1565	13
NIC1583	11
NIC1586	12
NIC1587	11
NIC1588	9
NIC1592	7
NIC1594	9
NIC1596	13
NIC1603	11
NIC1644	15
NIC1646	12
NIC1647	13
